  a     b    E1min   energy   E2min   energy    E3min   energy    E4min   energy
3.964 3.958   D -39.81513492  A -39.81513098  B -39.81002003  C -39.80396267
3.964 3.960   D -39.81526085  A -39.81525908  B -39.80967550  C -39.80314913
3.964 3.962   A -39.81539447  D -39.81539312  B -39.80946606  C -39.80232473
3.964 3.964   A -39.81552918  D -39.81552800  B -39.80905029  C -39.80146866
3.966 3.932   D -39.81427063  A -39.81425341  B -39.81238982  C -39.81207092
3.966 3.934   A -39.81433388  D -39.81432989  B -39.81352986  C -39.81149597
3.966 3.936   A -39.81440732  D -39.81438225  B -39.81341045  C -39.81090542
3.966 3.938   A -39.81448135  D -39.81444365  B -39.81325732  C -39.81028885
3.966 3.940   A -39.81455781  D -39.81453674  B -39.81309136  C -39.80963121
3.966 3.942   A -39.81463789  D -39.81461306  B -39.81292108  C -39.80898168
3.966 3.944   A -39.81472100  D -39.81470125  B -39.81273174  C -39.80831664
3.966 3.946   A -39.81480091  D -39.81479013  B -39.81252258  C -39.80763242
3.966 3.948   A -39.81488449  D -39.81487333  B -39.81205403  C -39.80692207
3.966 3.950   A -39.81497120  D -39.81495796  B -39.81200549  C -39.80619726
3.966 3.952   A -39.81506038  D -39.81504399  B -39.81153982  C -39.80545330
3.966 3.954   A -39.81514288  D -39.81513915  B -39.81141619  C -39.80468226
3.966 3.956   A -39.81524548  D -39.81523921  B -39.81108315  C -39.80391262
3.966 3.958   A -39.81534588  D -39.81534071  B -39.81073345  C -39.80311273
3.966 3.960   A -39.81545462  D -39.81544739  B -39.81036827  C -39.80229836
3.966 3.962   A -39.81556200  D -39.81555814  B -39.80977662  C -39.80146455
3.966 3.964   D -39.81567861  A -39.81567503  B -39.80940662  C -39.80060993
3.966 3.966   A -39.81579102  D -39.81578788  B -39.80912933  C -39.79973503
3.968 3.932   A -39.81473219  D -39.81471022  B -39.81417742  C -39.81125855
3.968 3.934   A -39.81478848  D -39.81475338  B -39.81406542  C -39.81067844
3.968 3.936   A -39.81485052  D -39.81480670  B -39.81394230  C -39.81007876
3.968 3.938   A -39.81490379  D -39.81488520  B -39.81380789  C -39.80944017
3.968 3.940   A -39.81496323  D -39.81492794  B -39.81365642  C -39.80880329
3.968 3.942   A -39.81502368  D -39.81500089  B -39.81334427  C -39.80814823
3.968 3.944   A -39.81508933  D -39.81508009  B -39.81328477  C -39.80748378
3.968 3.946   A -39.81514348  D -39.81513777  B -39.81305405  C -39.80679120
3.968 3.948   A -39.81520221  D -39.81520018  B -39.81280961  C -39.80607141
3.968 3.950   A -39.81526866  D -39.81525721  B -39.81253677  C -39.80533945
3.968 3.952   A -39.81533527  D -39.81532673  B -39.81224168  C -39.80459322
3.968 3.954   D -39.81539840  A -39.81539742  B -39.81192154  C -39.80381615
3.968 3.956   A -39.81548154  D -39.81547718  B -39.81145894  C -39.80304668
3.968 3.958   A -39.81555299  D -39.81554581  B -39.81104043  C -39.80223497
3.968 3.960   A -39.81563912  D -39.81563816  B -39.81086733  C -39.80141666
3.968 3.962   D -39.81572569  A -39.81572344  B -39.81047373  C -39.80057822
3.968 3.964   A -39.81581231  D -39.81581073  B -39.81005352  C -39.79971596
3.968 3.966   D -39.81590717  A -39.81590281  B -39.80961439  C -39.79883627
3.968 3.968   A -39.81600358  D -39.81600290  B -39.80915785  C -39.79793944
3.970 3.932   A -39.81521190  D -39.81516240  B -39.81472360  C -39.81042983
3.970 3.934   A -39.81525273  D -39.81521579  B -39.81462483  C -39.80984792
3.970 3.936   A -39.81529012  D -39.81526430  B -39.81449914  C -39.80923969
3.970 3.938   A -39.81533222  D -39.81530855  B -39.81438025  C -39.80860228
3.970 3.940   A -39.81536925  D -39.81536008  B -39.81419867  C -39.80796061
3.970 3.942   A -39.81541116  D -39.81540255  B -39.81401881  C -39.80730284
3.970 3.944   A -39.81544932  D -39.81543842  B -39.81381911  C -39.80662183
3.970 3.946   D -39.81548418  A -39.81548389  B -39.81357822  C -39.80592310
3.970 3.948   A -39.81552738  D -39.81552103  B -39.81332456  C -39.80520588
3.970 3.950   A -39.81556990  D -39.81556467  B -39.81305333  C -39.80447057
3.970 3.952   A -39.81561693  D -39.81561504  B -39.81260674  C -39.80371511
3.970 3.954   A -39.81566363  D -39.81566047  B -39.81243035  C -39.80294028
3.970 3.956   D -39.81572128  A -39.81571893  B -39.81209897  C -39.80216249
3.970 3.958   A -39.81576969  D -39.81576337  B -39.81173636  C -39.80134443
3.970 3.960   D -39.81583378  A -39.81582831  B -39.81115145  C -39.80052176
3.970 3.962   A -39.81589410  D -39.81589063  B -39.81095654  C -39.79967606
3.970 3.964   D -39.81596103  A -39.81595843  B -39.81032249  C -39.79881109
3.970 3.966   A -39.81602933  D -39.81602855  B -39.81009047  C -39.79792688
3.970 3.968   A -39.81609756  D -39.81609671  B -39.80962131  C -39.79701795
3.970 3.970   A -39.81617865  D -39.81617628  B -39.80913817  C -39.79609665
3.972 3.932   A -39.81567804  D -39.81565593  B -39.81527825  C -39.80958398
3.972 3.934   A -39.81570124  D -39.81568089  B -39.81517177  C -39.80899280
3.972 3.936   A -39.81572887  D -39.81570516  B -39.81505203  C -39.80836345
3.972 3.938   A -39.81574522  D -39.81574414  B -39.81490138  C -39.80773750
3.972 3.940   A -39.81576803  D -39.81575237  B -39.81473424  C -39.80708843
3.972 3.942   A -39.81579199  D -39.81578590  B -39.81454042  C -39.80642859
3.972 3.944   A -39.81580438  D -39.81579861  B -39.81432910  C -39.80574194
3.972 3.946   D -39.81582415  A -39.81582156  B -39.81408896  C -39.80503742
3.972 3.948   A -39.81584739  D -39.81584400  B -39.81382868  C -39.80431740
3.972 3.950   A -39.81587206  D -39.81586955  B -39.81354923  C -39.80357734
3.972 3.952   A -39.81589701  D -39.81589235  B -39.81325381  C -39.80282045
3.972 3.954   D -39.81592723  A -39.81592323  B -39.81293043  C -39.80204214
3.972 3.956   A -39.81595483  D -39.81595163  B -39.81258326  C -39.80125152
3.972 3.958   D -39.81598510  A -39.81598363  B -39.81198600  C -39.80043420
3.972 3.960   A -39.81602392  D -39.81602186  B -39.81183353  C -39.79960472
3.972 3.962   D -39.81606472  A -39.81606469  B -39.81143239  C -39.79875665
3.972 3.964   D -39.81611077  A -39.81610985  B -39.81100384  C -39.79788613
3.972 3.966   D -39.81615395  A -39.81615111  B -39.81055193  C -39.79699254
3.972 3.968   A -39.81620531  D -39.81620504  B -39.81008085  C -39.79608501
3.972 3.970   A -39.81625709  D -39.81625685  B -39.80958728  C -39.79515372
3.972 3.972   A -39.81632074  D -39.81631975  C -39.79420945  B -39.79394791
